time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/learning_rate,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss
3,1,500.0,4942,31.96875,16384,,,,,,,,,,
11,2,500.0,2823,30.0625,32768,0.0020052672,0.0005,5,11.181724548339844,453.51281263828275,0.09697265625,0.03724569082260132,0.1,-0.6912338681519031,-0.00332147745302791
19,3,500.0,2496,28.333333333333332,49152,0.002870527,0.0005,10,1.541001558303833,64.27087655961513,0.09134521484375,0.07499593496322632,0.1,-0.685659987013787,-0.003378550445995643
27,4,500.0,2351,26.03,65536,0.0024754037,0.0005,15,5.211452007293701,73.24207256808877,0.1113037109375,0.5596775710582733,0.1,-0.6794997318647802,-0.002419453993570642
36,5,500.0,2274,24.61,81920,0.0027557244,0.0005,20,3.3753294944763184,59.51075670421123,0.11978759765625,0.8025366961956024,0.1,-0.6761279101483524,-0.0025199330575560452
44,6,500.0,2186,24.55,98304,0.003402782,0.0005,25,1.5977452993392944,38.36048999093473,0.17947998046875,0.9055801257491112,0.1,-0.6624645971693098,-0.0034360284778813368
53,7,500.0,2151,27.6,114688,0.0046133036,0.0005,30,2.7265162467956543,38.81462085004896,0.21998291015625,0.9333290159702301,0.1,-0.6408566258847713,-0.00326161927978319
61,8,500.0,2134,32.84,131072,0.0061223796,0.0005,35,1.1775267124176025,14.465957930870355,0.27889404296875,0.9757786281406879,0.1,-0.6085113881155848,-0.007501979228254641
69,9,500.0,2117,41.73,147456,0.007236002,0.0005,40,5.411215305328369,31.67982657942921,0.29398193359375,0.9564048759639263,0.1,-0.5760224502068013,-0.005138746424017881
77,10,500.0,2108,53.52,163840,0.0065461593,0.0005,45,0.45361995697021484,8.008040900435299,0.24501953125,0.976767910644412,0.1,-0.5468013138743117,-0.005214853030929589
86,11,500.0,2090,73.86,180224,0.00685701,0.0005,50,0.8586149215698242,5.291008219681681,0.2446533203125,0.968919301405549,0.1,-0.5266246117884293,-0.005598299117082206
94,12,500.0,2072,107.34,196608,0.0058643734,0.0005,55,0.23235759139060974,3.8821523365564645,0.23564453125,0.9816662725061178,0.1,-0.5245110173942521,-0.006015075650793733
103,13,500.0,2051,139.19,212992,0.007154306,0.0005,60,0.16717949509620667,1.5436696348246186,0.26846923828125,0.9904574230313301,0.1,-0.5355584059376269,-0.0044853543458884815
112,14,500.0,2030,169.38,229376,0.005778096,0.0005,65,0.02329726703464985,1.2009977768640965,0.22552490234375,0.992409358266741,0.1,-0.5515325348591432,-0.003710605905507691
122,15,500.0,2011,181.76,245760,0.006233959,0.0005,70,0.1332269012928009,0.7285805759514915,0.2121337890625,0.9902838449925184,0.1,-0.5502484099939465,-6.975679661991308e-05
130,16,500.0,2005,183.74,262144,0.003909761,0.0005,75,0.05394456908106804,1.3953468041843735,0.13770751953125,0.9849536791443825,0.1,-0.5453132865717635,0.000509609029541025
138,17,500.0,2008,181.45,278528,0.005140648,0.0005,80,0.0626838356256485,0.9768116270919563,0.20084228515625,0.9854771867394447,0.1,-0.5400070222327485,0.0008425823650213716
146,18,500.0,2008,178.87,294912,0.0029958119,0.0005,85,0.033501096069812775,0.5750902826854144,0.138525390625,0.9779658317565918,0.1,-0.5298738359240815,0.0016316109756644437
154,19,500.0,2010,176.91,311296,0.0025593638,0.0005,90,0.004411885514855385,0.5731758653535508,0.12838134765625,0.9789974614977837,0.1,-0.5277884912444278,0.0006444418473620317
162,20,500.0,2012,187.33,327680,0.002299485,0.0005,95,-0.00027595460414886475,0.5714860924781533,0.1099365234375,0.9750758018344641,0.1,-0.5077129363082349,0.0014278393405220413
173,21,500.0,1987,196.41,344064,0.0048070517,0.0005,100,0.022515129297971725,0.1991891609504819,0.14556884765625,0.8944515287876129,0.1,-0.4689506158232689,0.0010564053245616378
182,22,500.0,1980,197.43,360448,0.0043386905,0.0005,105,0.0019900575280189514,0.10684317221894161,0.1302734375,0.9516207501292229,0.1,-0.45190152917057275,-0.0010944369219942018
193,23,500.0,1951,191.26,376832,0.0028177716,0.0005,110,-0.007692256476730108,0.0703136528692994,0.10108642578125,0.9686028063297272,0.1,-0.4312630092026666,-0.0011173889208293986
205,24,500.0,1917,185.7,393216,0.002823392,0.0005,115,0.010708910413086414,0.060314227139315335,0.11719970703125,0.9673646427690983,0.1,-0.4098023352911696,-0.001823176226207579
216,25,500.0,1888,184.34,409600,0.0033378028,0.0005,120,-0.0016784253530204296,0.039422619600736654,0.1235595703125,0.9682536087930202,0.1,-0.3941938560921699,-0.003541878616215399
226,26,500.0,1883,183.88,425984,0.0017308105,0.0005,125,0.003992966841906309,0.04841870049349382,0.1101318359375,0.9646321572363377,0.1,-0.38133240048773587,-0.0019451113830655231
234,27,500.0,1885,182.28,442368,0.0038132865,0.0005,130,-0.012199309654533863,0.04747174949661712,0.12630615234375,0.9508766196668148,0.1,-0.36758135377895085,0.0005864201388249057
242,28,500.0,1888,184.2,458752,0.0025416492,0.0005,135,-0.0006769592873752117,0.044107687417272244,0.1044189453125,0.9677317440509796,0.1,-0.36371203791350126,-0.000152018526023312
251,29,500.0,1890,185.02,475136,0.0024473108,0.0005,140,0.007357727736234665,0.07838312906824285,0.106201171875,0.9420103095471859,0.1,-0.35312097654677926,0.000778743724913511
260,30,500.0,1885,187.91,491520,0.0027537476,0.0005,145,0.007527763023972511,0.07734228360350244,0.09051513671875,0.930307611823082,0.1,-0.3307283157482743,0.000475661209293321
269,31,500.0,1883,191.29,507904,0.002084625,0.0005,150,0.006962819956243038,0.07077544750354718,0.089892578125,0.9355129823088646,0.1,-0.3134909751242958,0.0009555245138471946
278,32,500.0,1884,190.31,524288,0.002459581,0.0005,155,0.0035609796177595854,0.08639859620489006,0.0811767578125,0.9225573092699051,0.1,-0.3103697773301974,0.0006713742129250023
286,33,500.0,1887,185.88,540672,0.0019052441,0.0005,160,-0.0008443836122751236,0.12129263184324372,0.08028564453125,0.9129296243190765,0.1,-0.2916283662663773,0.0010791381044327863
294,34,500.0,1889,185.18,557056,0.0022720064,0.0005,165,0.007824419997632504,0.1809536824875977,0.07440185546875,0.9039453268051147,0.1,-0.27974394407356157,0.001077828350571508
303,35,500.0,1890,188.79,573440,0.0030913819,0.0005,170,0.016631100326776505,0.20187040362070546,0.08350830078125,0.8843815550208092,0.1,-0.26602355116046966,0.0016740528065383841
311,36,500.0,1893,190.36,589824,0.001953378,0.0005,175,0.013463832437992096,0.21415463419252773,0.07572021484375,0.881491057574749,0.1,-0.25804508354049177,0.0019029553949621914
319,37,500.0,1896,187.82,606208,0.0012490004,0.0005,180,0.023183101788163185,0.3297980157789425,0.0691650390625,0.8531987816095352,0.1,-0.27433559877099467,0.0013293220562900388
327,38,500.0,1898,186.18,622592,0.0016279893,0.0005,185,0.1403917819261551,0.4297596470758435,0.07574462890625,0.8327948898077011,0.1,-0.28510468926979227,0.0015162362385126471
336,39,500.0,1900,186.94,638976,0.0017423885,0.0005,190,0.024669354781508446,0.40420761477580525,0.08101806640625,0.8470011949539185,0.1,-0.276646503189113,0.0014970750644351938
344,40,500.0,1900,189.05,655360,0.0018557772,0.0005,195,0.042033545672893524,0.48930308556155067,0.0743408203125,0.8540638387203217,0.1,-0.2837326661334373,0.0007634428648998437
354,41,500.0,1896,189.18,671744,0.0013962823,0.0005,200,0.06251857429742813,0.4742546106506779,0.0608642578125,0.8457345813512802,0.1,-0.29022230562986806,0.0011515700660766014
363,42,500.0,1893,185.35,688128,0.0019974527,0.0005,205,0.08808371424674988,0.5533428190894483,0.07686767578125,0.8373266011476517,0.1,-0.29187628836371005,0.0015164688421918982
372,43,500.0,1890,183.88,704512,0.0014449141,0.0005,210,0.14717814326286316,0.6909845760892495,0.07191162109375,0.8232429772615433,0.1,-0.28582796921255066,0.0014949352897019707
